USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.7  0.1  44784 22804 ?        Ss   09:36   0:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root          59  0.0  0.0      0     0 ?        S    09:36   0:00 [idle_inject/7]
root          60  0.0  0.0      0     0 ?        S    09:36   0:00 [migration/7]
root          61  0.0  0.0      0     0 ?        S    09:36   0:00 [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/7:0-events]
root          63  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/7:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    09:36   0:00 [kdevtmpfs]
root          65  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-inet_frag_wq]
root          66  0.0  0.0      0     0 ?        I    09:36   0:00 [rcu_tasks_kthread]
root          67  0.0  0.0      0     0 ?        I    09:36   0:00 [rcu_tasks_rude_kthread]
root          68  0.0  0.0      0     0 ?        I    09:36   0:00 [rcu_tasks_trace_kthread]
root          69  0.0  0.0      0     0 ?        S    09:36   0:00 [kauditd]
root          70  0.0  0.0      0     0 ?        S    09:36   0:00 [oom_reaper]
root          71  0.1  0.0      0     0 ?        I    09:36   0:00 [kworker/u32:2-btrfs-compressed-write]
root          72  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-writeback]
root          73  0.0  0.0      0     0 ?        S    09:36   0:00 [kcompactd0]
root          74  0.0  0.0      0     0 ?        SN   09:36   0:00 [ksmd]
root          75  0.0  0.0      0     0 ?        SN   09:36   0:00 [khugepaged]
root          76  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-kblockd]
root          77  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-blkcg_punt_bio]
root          78  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-kintegrityd]
root          79  0.0  0.0      0     0 ?        S    09:36   0:00 [irq/9-acpi]
root          80  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/5:1-cgroup_offline]
root          81  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/4:1-cgroup_release]
root          82  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-tpm_dev_wq]
root          83  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-ata_sff]
root          84  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-md_bitmap]
root          85  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-md]
root          86  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-edac-poller]
root          87  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-devfreq_wq]
root          88  0.0  0.0      0     0 ?        S    09:36   0:00 [watchdogd]
root          89  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-quota_events_unbound]
root          90  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/5:1H-i915_cleanup]
root          91  0.0  0.0      0     0 ?        S    09:36   0:00 [kswapd0]
root          92  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-cryptd]
root          94  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/7:1-i915-unordered]
root          96  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-kthrotld]
root          97  0.0  0.0      0     0 ?        S    09:36   0:00 [irq/120-aerdrv]
root          98  0.0  0.0      0     0 ?        S    09:36   0:00 [irq/120-pcie-dpc]
root          99  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/1:1-i915-unordered]
root         100  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-acpi_thermal_pm]
root         101  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/3:1-mm_percpu_wq]
root         102  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/2:1-events]
root         103  0.0  0.0      0     0 ?        S    09:36   0:00 [hwrng]
root         108  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/2:2-i915-unordered]
root         109  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-dm_bufio_cache]
root         110  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-mld]
root         111  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-ipv6_addrconf]
root         112  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/2:1H-kblockd]
root         113  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/R-kstrp]
root         114  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/6:1-i915-unordered]
root         124  0.2  0.0      0     0 ?        I<   09:36   0:00 [kworker/u33:0-hci0]
root         200  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/1:1H-i915_cleanup]
root         201  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/3:2-inode_switch_wbs]
root         202  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/2:3-events]
root         204  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/3:1H-i915_cleanup]
root         240  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/4:1H-kblockd]
root         246  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/7:1H-i915_cleanup]
root         250  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/6:1H-i915_cleanup]
root         252  0.0  0.0      0     0 ?        I<   09:36   0:00 [kworker/0:1H-i915_cleanup]
root         273  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/1:2-cgroup_free]
root         280  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/4:2-mm_percpu_wq]
root         292  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/1:3-rcu_gp]
root         358  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/5:2-i915-unordered]
root         359  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/5:3]
root         371  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/0:2]
root         393  0.0  0.0      0     0 ?        I    09:36   0:00 [kworker/7:2-events]
root         406  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/7:3-cgroup_release]
root         408  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/118-ELAN0712:00]
root         416  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/6:2-events]
root         417  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/148-aerdrv]
root         418  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/148-pcie-dpc]
root         420  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-nvme-wq]
root         421  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-nvme-reset-wq]
root         422  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-nvme-delete-wq]
root         423  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-nvme-auth-wq]
root         425  0.3  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:3-btrfs-endio-write]
root         435  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-worker]
root         436  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-delalloc]
root         437  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-flush_delalloc]
root         438  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-cache]
root         439  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-fixup]
root         440  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-endio]
root         441  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-endio-meta]
root         442  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-rmw]
root         443  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-endio-write]
root         444  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-compressed-write]
root         445  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-freespace-write]
root         446  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-delayed-meta]
root         447  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-btrfs-qgroup-rescan]
root         448  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-ttm]
root         449  0.0  0.0      0     0 ?        S    09:37   0:00 [btrfs-cleaner]
root         450  0.1  0.0      0     0 ?        S    09:37   0:00 [btrfs-transaction]
root         474  0.0  0.0      0     0 ?        S    09:37   0:00 [card1-crtc0]
root         475  0.0  0.0      0     0 ?        S    09:37   0:00 [card1-crtc1]
root         476  0.0  0.0      0     0 ?        S    09:37   0:00 [card1-crtc2]
root         477  0.0  0.0      0     0 ?        S    09:37   0:00 [card1-crtc3]
root         480  0.3  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:4-events_unbound]
root         481  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:5-btrfs-compressed-write]
root         482  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/0:3-cgroup_free]
root         492  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:6-btrfs-delalloc]
root         493  0.2  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:7-btrfs-delalloc]
root         496  0.2  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:8-blkcg_punt_bio]
root         542  0.0  0.0      0     0 ?        S    09:37   0:00 [psimon]
root         553  0.1  0.3  83892 50444 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-journald
root         584  0.0  0.0  16600  6968 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-userdbd
root         585  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/3:3-i915-unordered]
root         593  0.1  0.1  41380 16248 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-udevd
root         596  0.0  0.0      0     0 ?        S    09:37   0:00 [psimon]
root         706  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/u33:1-hci0]
root         707  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/u33:2-hci0]
root         730  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/159-mei_me]
root         741  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-cfg80211]
root         767  0.0  0.0      0     0 ?        S    09:37   0:00 [jbd2/nvme0n1p2-8]
root         768  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-ext4-rsv-conversion]
root         789  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:9-btrfs-endio-write]
root         790  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:10-events_unbound]
root         792  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:11-btrfs-endio-write]
root         794  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:12-btrfs-endio-write]
root         805  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:13-btrfs-endio-write]
root         806  0.2  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:14-btrfs-delalloc]
